timestamp,cpu_percent,load_1min,load_5min,load_15min
1763844443,-49520,3.85,2.25,1.92
1763844448,-49681,3.70,2.25,1.92
1763844453,-52598,4.68,2.48,2.00
1763844457,-53076,4.68,2.48,2.00
1763844461,-53334,6.87,2.97,2.16
