timestamp,rx_mb,tx_mb,rx_packets,tx_packets
1763845268,1304,99,1010608,517348
1763845274,1304,99,1010620,517352
1763845285,1304,99,1010666,517394
1763845293,1304,99,1010689,517411
1763845298,1304,99,1010696,517416
1763845305,1304,99,1010717,517422
1763845312,1304,99,1010724,517429
1763845323,1341,101,1038556,532081
1763845344,1341,101,1038619,532132
