timestamp,cpu_percent,load_1min,load_5min,load_15min
1763845005,-60797,0.29,11.33,10.57
1763845007,-60891,0.29,11.33,10.57
1763845009,-61077,0.35,11.15,10.52
1763845011,-61152,0.35,11.15,10.52
1763845014,-61493,0.40,10.99,10.47
