timestamp,cpu_percent,load_1min,load_5min,load_15min
1763839621,-100256,1.24,7.93,20.73
1763839623,-100491,1.24,7.93,20.73
1763839625,-102005,2.34,8.04,20.70
1763839628,-103104,2.34,8.04,20.70
1763839631,-103617,4.55,8.41,20.75
