timestamp,total_mb,used_mb,free_mb,available_mb,swap_used_mb,swap_free_mb
1763844356,15698,4695,6670,11003,3184,25831
1763844358,15698,4768,6575,10930,3184,25831
1763844360,15698,5343,5995,10355,3184,25831
1763844363,15698,5680,5644,10018,3184,25831
1763844365,15698,5958,5339,9740,3184,25831
