timestamp,cpu_percent,load_1min,load_5min,load_15min
1763844356,-43914,0.25,0.56,1.36
1763844358,-44032,0.31,0.57,1.36
1763844360,-44161,0.31,0.57,1.36
1763844363,-44354,0.31,0.57,1.36
1763844365,-44482,0.37,0.58,1.36
